Y;X1;X2;X3;X4;X5;X6
43410;69,72;59806;38390;8,63;446410;573310
41623;71,50;115741;169400;8,71;679140;815590
75702;74,50;137559;234270;9,69;732840;994900
153413;76,20;150709;204850;9,38;629010;1207920
53949;71,51;168884;102940;8,76;722090;950990
56988;68,85;83452;89090;8,10;499620;847560
51916;72,03;63132;42880;8,53;473530;610690
82701;71,75;88437;43950;8,82;507010;705760
61238;70.75;40595;22160;9,24;443380;564490
77302;72.71;40459;24900;9,61;498800;661686
48117;70,32;69157;30540;8,43;421520;592810
49696;68,77;23296;17250;9,46;330150;460260
38933;68,37;48216;36730;8,09;367470;462220
26136;67,58;58068;13470;7,35;382140;486530
37815;68,04;58099;18630;7,75;372940;492690
80970;85,97;186794;427650;12,55;720920;843120
72416;79,61;84057;125410;11,03;544890;635300